# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
afg,52,901,soil_c (0-30 cms),42,40,10,110,20,50
afg,52,901,veg_c (above ground biomass),1,0,0,1,0,1
afg,52,901,veg_c (below ground biomass),2,1,1,5,1,3
afg,52,902,soil_c (0-30 cms),33,40,10,110,20,50
afg,52,902,veg_c (above ground biomass),1,1,1,3,1,2
afg,52,902,veg_c (below ground biomass),2,1,1,4,1,2
afg,52,1001,soil_c (0-30 cms),62,50,10,240,30,80
afg,52,1001,veg_c (below ground biomass),2,2,0,20,2,3
afg,52,1002,soil_c (0-30 cms),50,50,10,240,30,80
afg,52,1002,veg_c (above ground biomass),1,1,0,6,1,1
afg,52,1002,veg_c (below ground biomass),3,2,0,19,2,2
afg,52,1101,soil_c (0-30 cms),19,20,10,50,20,30
afg,52,1101,veg_c (below ground biomass),2,2,1,4,2,2
afg,52,1102,soil_c (0-30 cms),20,20,10,50,20,30
afg,52,1102,veg_c (above ground biomass),1,0,0,1,0,0
afg,52,1102,veg_c (below ground biomass),2,2,1,4,2,2
afg,52,1201,soil_c (0-30 cms),47,20,10,240,20,50
afg,52,1201,veg_c (above ground biomass),1,1,0,6,1,1
afg,52,1201,veg_c (below ground biomass),2,1,0,13,1,3
afg,52,1202,soil_c (0-30 cms),27,20,10,240,20,50
afg,52,1202,veg_c (above ground biomass),1,1,0,6,1,1
afg,52,1202,veg_c (below ground biomass),2,2,0,13,2,3
afg,52,1401,soil_c (0-30 cms),15,10,10,20,10,20
afg,52,1401,veg_c (below ground biomass),1,1,1,1,1,2
afg,52,1402,soil_c (0-30 cms),13,10,10,20,10,20
afg,52,1402,veg_c (below ground biomass),1,1,1,1,1,2
afg,58,401,soil_c (0-30 cms),44,50,30,90,30,70
afg,58,401,veg_c (above ground biomass),1,1,0,1,1,1
afg,58,401,veg_c (below ground biomass),3,3,1,5,3,4
afg,58,402,soil_c (0-30 cms),51,50,30,90,30,70
afg,58,402,veg_c (above ground biomass),1,1,0,2,1,1
afg,58,402,veg_c (below ground biomass),3,3,1,5,3,4
afg,58,405,soil_c (0-30 cms),58,50,30,90,30,70
afg,58,405,veg_c (above ground biomass),1,1,0,2,1,1
afg,58,405,veg_c (below ground biomass),3,3,1,5,3,4
afg,58,407,soil_c (0-30 cms),62,50,30,90,30,70
afg,58,407,veg_c (above ground biomass),1,1,0,2,1,1
afg,58,407,veg_c (below ground biomass),3,3,1,5,3,4
afg,58,901,soil_c (0-30 cms),71,50,30,190,40,70
afg,58,901,veg_c (above ground biomass),1,1,1,2,1,1
afg,58,901,veg_c (below ground biomass),2,1,1,3,1,3
afg,58,902,soil_c (0-30 cms),60,50,30,190,40,70
afg,58,902,veg_c (above ground biomass),1,1,1,2,1,1
afg,58,902,veg_c (below ground biomass),1,1,1,3,1,2
afg,58,1001,soil_c (0-30 cms),67,50,10,250,40,80
afg,58,1001,veg_c (above ground biomass),1,1,0,13,1,1
afg,58,1001,veg_c (below ground biomass),2,3,0,48,3,3
afg,58,1002,soil_c (0-30 cms),51,50,10,250,40,80
afg,58,1002,veg_c (above ground biomass),1,1,0,15,1,1
afg,58,1002,veg_c (below ground biomass),2,2,0,46,2,3
afg,58,1003,soil_c (0-30 cms),66,50,10,250,40,80
afg,58,1003,veg_c (above ground biomass),1,1,0,22,1,2
afg,58,1003,veg_c (below ground biomass),1,2,0,40,2,3
afg,58,1005,soil_c (0-30 cms),116,50,10,250,40,80
afg,58,1005,veg_c (above ground biomass),1,1,0,20,1,1
afg,58,1005,veg_c (below ground biomass),2,2,0,42,2,3
afg,58,1006,soil_c (0-30 cms),77,50,10,250,40,80
afg,58,1006,veg_c (above ground biomass),1,1,0,12,1,1
afg,58,1006,veg_c (below ground biomass),3,3,0,49,3,4
afg,58,1007,soil_c (0-30 cms),106,50,10,250,40,80
afg,58,1007,veg_c (above ground biomass),1,1,0,19,1,1
afg,58,1007,veg_c (below ground biomass),2,2,0,42,2,3
afg,58,1101,soil_c (0-30 cms),120,100,20,210,60,170
afg,58,1101,veg_c (above ground biomass),2,1,0,17,1,4
afg,58,1101,veg_c (below ground biomass),3,3,0,31,3,8
afg,58,1102,soil_c (0-30 cms),107,100,20,210,60,170
afg,58,1102,veg_c (above ground biomass),2,1,0,18,1,5
afg,58,1102,veg_c (below ground biomass),4,3,0,31,3,8
afg,58,1103,soil_c (0-30 cms),57,100,20,210,60,170
afg,58,1103,veg_c (above ground biomass),1,1,0,10,1,2
afg,58,1103,veg_c (below ground biomass),2,3,0,39,3,10
